AlarmName,AlarmAction,CoreSystemsAction,Severity,MidasPolicyCondition
Network uplink redundancy lost,SendEmail,SendEmail,Info,
NSXT-SNMP-Traps,SendSNMP,SendSNMP,Major,"NSXT-SNMP-Traps (non-normal), NSXT-SNMP-Traps (ACK)"
PostgreSQL Service Health Alarm,SendSNMP,SendSNMP,Info,
PSC Service Health Alarm.,SendSNMP,SendSNMP,Info,
RBD Health Alarm,SendSNMP,SendSNMP,Info,
Service Control Agent Health Alarm,SendSNMP,SendSNMP,Info,
SRM Consistency Group Violation,SendSNMP,SendSNMP,Info,
Thin-provisioned volume capacity threshold exceeded,SendSNMP,SendSNMP,Major,"Thin-provisioned volume capacity threshold exceeded (non-normal), Thin-provisioned volume capacity threshold exceeded (ACK)"
vCenter HA Service Health Alarm.,SendSNMP,SendSNMP,Info,
vCenter Server Health Alarm,SendSNMP,SendSNMP,Major,
Virtual machine Consolidation Needed status,SendSNMP,SendSNMP,Major,"Virtual machine Consolidation Needed status (non-normal), Virtual machine Consolidation Needed status (ACK)  "
Virtual machine CPU usage,SendSNMP,SendSNMP,NA,"VmCPUUsageAlarm (minor), VmCPUUsageAlarm (ACK)"
Virtual machine error,SendSNMP,SendSNMP,Major,"Virtual machine error (non-normal), Virtual machine error (ACK)"
Virtual machine memory usage,SendSNMP,SendSNMP,NA,"Virtual machine memory usage (minor), Virtual machine memory usage (ACK)"
VMKernel NIC not configured correctly,SendSNMP,SendSNMP,Major,VMKernel NIC not configured correctly (minor)
VMware Directory Service Health Alarm,SendSNMP,SendSNMP,Info,
VMware vCenter-Services Health Alarm,SendSNMP,SendSNMP,Info,
vService Manager Health Alarm,SendSNMP,SendSNMP,Info,
vSphere Distributed Switch MTU matched status,SendSNMP,SendSNMP,Major,vSphere Distributed Switch MTU matched status (minor)
vSphere Distributed Switch MTU supported status,SendSNMP,SendSNMP,Major,vSphere Distributed Switch MTU supported status (minor)
vSphere Distributed Switch teaming matched status,SendSNMP,SendEmail,Info,
vSphere Distributed Switch VLAN trunked status,SendSNMP,SendSNMP,Major,vSphere Distributed Switch VLAN trunked status (minor) 
vSphere HA failover in progress,SendSNMP,SendSNMP,Major,"vSphere HA failover in progress (non-normal), vSphere HA failover in progress (ACK)"
vSphere HA host status,SendSNMP,SendSNMP,Major,"vSphere HA host status (minor), vSphere HA host status (ACK)"
vSphere HA virtual machine failover failed,SendSNMP,SendSNMP,Info,vSphere HA virtual machine failover failed (minor)
vSphere HA virtual machine monitoring action,SendSNMP,SendSNMP,NA,vSphere HA virtual machine monitoring action (minor)
vSphere UI Health Alarm,SendSNMP,SendEmail,Info,
